iter	Passed	Remaining
291	30081	485005
292	30183	484886
293	30281	484715
294	30379	484528
295	30483	484445
296	30596	484493
297	30699	484388
298	30795	484177
299	30887	483910
300	30991	483809
301	31098	483782
302	31208	483778
303	31306	483598
304	31400	483360
305	31501	483235
306	31600	483061
307	31701	482931
308	31806	482859
309	31902	482655
310	32003	482518
311	32108	482457
312	32228	482597
313	32343	482677
314	32447	482594
315	32556	482575
316	32659	482467
317	32748	482164
318	32848	482013
319	32955	481976
320	33046	481694
321	33141	481479
322	33240	481313
323	33337	481124
324	33451	481189
325	33552	481049
326	33652	480914
327	33752	480769
328	33849	480579
329	33948	480426
330	34050	480308
331	34166	480383
332	34281	480456
333	34384	480358
334	34485	480225
335	34584	480069
336	34692	480033
337	34792	479886
338	34898	479822
339	34997	479674
340	35104	479625
341	35204	479478
342	35311	479435
343	35417	479376
344	35526	479352
345	35633	479301
346	35743	479286
347	35852	479267
348	35949	479082
349	36055	479018
350	36164	478994
351	36258	478781
352	36365	478725
353	36467	478611
354	36570	478508
355	36672	478385
356	36772	478244
357	36871	478093
358	36974	477990
359	37068	477773
360	37166	477609
361	37283	477685
362	37397	477722
363	37497	477579
364	37605	477536
365	37715	477522
366	37811	477334
367	37901	477062
368	37988	476757
369	38093	476680
370	38192	476531
371	38290	476362
372	38382	476126
373	38491	476098
374	38591	475965
375	38691	475825
376	38800	475796
377	38901	475674
378	39001	475524
379	39095	475321
380	39194	475167
381	39305	475161
382	39412	475105
383	39512	474975
384	39603	474722
385	39713	474711
386	39823	474697
387	39939	474742
388	40021	474392
389	40125	474305
390	40211	474005
391	40324	474016
392	40437	474039
393	40543	473966
394	40640	473791
395	40741	473672
396	40845	473577
397	40947	473469
